epoch	time	train_nll	train_acc	valid_nll	valid_acc	test_nll	test_acc
373	22566	1.6141	0.84664	0.0000	0.00000	1.5815	0.87900
374	22609	1.6163	0.84468	0.0000	0.00000	1.5800	0.88090
375	22651	1.6162	0.84478	0.0000	0.00000	1.5826	0.87800
376	22694	1.6188	0.84148	0.0000	0.00000	1.5827	0.87830
377	22736	1.6160	0.84456	0.0000	0.00000	1.5784	0.88200
378	22779	1.6162	0.84402	0.0000	0.00000	1.5804	0.88010
379	22821	1.6159	0.84446	0.0000	0.00000	1.5793	0.88080
380	22863	1.6164	0.84442	0.0000	0.00000	1.5839	0.87750
381	22906	1.6168	0.84372	0.0000	0.00000	1.5795	0.88180
382	22948	1.6132	0.84764	0.0000	0.00000	1.5829	0.87790
383	22990	1.6157	0.84530	0.0000	0.00000	1.5800	0.88170
384	23033	1.6161	0.84470	0.0000	0.00000	1.5837	0.87760
385	23075	1.6172	0.84348	0.0000	0.00000	1.5822	0.87810
386	23118	1.6152	0.84546	0.0000	0.00000	1.5793	0.88220
387	23160	1.6161	0.84406	0.0000	0.00000	1.5813	0.87930
388	23202	1.6154	0.84578	0.0000	0.00000	1.5826	0.87850
389	23245	1.6143	0.84620	0.0000	0.00000	1.5832	0.87770
390	23287	1.6143	0.84586	0.0000	0.00000	1.5811	0.88050
391	23330	1.6130	0.84804	0.0000	0.00000	1.5801	0.88050
392	23372	1.6136	0.84726	0.0000	0.00000	1.5759	0.88520
